,title,release_date,popularity,vote_average,vote_count
189,In the Mood for Love,9/29/2000,7.2423,8.103,2993
190,WALL·E,6/22/2008,11.9053,8.101,19399
191,New Gods: Nezha Reborn,2/6/2021,9.6011,8.101,474
192,"Paris, Texas",7/16/1984,4.6554,8.101,2018
193,Yojimbo,4/25/1961,3.4798,8.096,1564
194,Metropolis,2/6/1927,3.7453,8.099,2914
195,Prisoners,9/19/2013,16.1927,8.098,12336
196,Big Deal on Madonna Street,7/26/1958,1.0407,8.1,738
197,Sansho the Bailiff,3/31/1954,1.7932,8.1,395
198,Mortal Kombat Legends: Scorpion's Revenge,4/12/2020,5.2721,8.096,1414
199,The Hunt,6/13/2012,4.5338,8.096,4434
200,Incendies,9/17/2010,7.9811,8.096,2979
201,Yojimbo,4/25/1961,3.4798,8.096,1564
202,The Hate U Give,10/19/2018,2.5154,8.095,2167
203,Some Like It Hot,3/19/1959,6.3459,8.095,3646
204,"Miraculous World: New York, United HeroeZ",9/25/2020,2.9245,8.1,1118
205,The Invisible Guest,1/6/2017,8.6296,8.092,4720
206,Eternal Sunshine of the Spotless Mind,3/19/2004,10.463,8.092,15607
207,The Best of Youth,6/22/2003,1.4407,8.089,567
208,Children of Paradise,3/15/1945,1.6024,8.1,431
209,Harry Potter and the Deathly Hallows: Part 2,7/12/2011,18.9654,8.1,21184
210,La Haine,5/31/1995,4.5462,8.086,4261
211,Das Boot,9/17/1981,3.3623,8.084,2334
212,The Tale of The Princess Kaguya,11/23/2013,3.1892,8.083,1870
213,Far from the Tree,11/24/2021,1.658,8.079,380
214,Purple Hearts,7/29/2022,11.2455,8.077,2711
215,All About Eve,11/9/1950,2.632,8.076,1597
216,There Will Be Blood,12/26/2007,9.4917,8.073,6915
217,Along with the Gods: The Two Worlds,12/20/2017,4.5936,8.07,1099
218,My Neighbor Totoro,4/16/1988,9.724,8.1,8349
219,M,5/11/1931,2.6472,8.07,2306
220,The Thing,6/25/1982,7.971,8.069,7393
221,La Dolce Vita,2/5/1960,3.9931,8.069,1946
222,Along with the Gods: The Last 49 Days,8/1/2018,5.505,8.068,700
223,To Live,5/18/1994,1.6334,8.066,334
224,2001: A Space Odyssey,4/2/1968,9.735,8.065,11969
225,Look Back,6/28/2024,7.2749,8.064,391
226,"Three Billboards Outside Ebbing, Missouri",12/1/2017,6.3046,8.064,10424
227,Prayers for Bobby,1/24/2009,2.2053,8.063,599
228,Pride & Prejudice,9/16/2005,10.9518,8.063,8362
229,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,8/30/2019,3.5471,8.062,575
230,Memories of Murder,4/25/2003,5.5239,8.061,4143
231,A Taxi Driver,8/2/2017,4.0025,8.059,1062
232,Memoir of a Snail,10/17/2024,13.024,8.053,610
233,Sherlock Jr.,4/17/1924,1.5704,8.057,1067
234,A Dog's Journey,5/3/2019,3.5715,8.056,1564
235,Elite Squad,10/12/2007,3.658,8.056,2532
236,Rashomon,8/26/1950,4.6298,8.056,2355
237,Ran,6/1/1985,4.4169,8.055,1662
238,Oppenheimer,7/19/2023,17.6774,8.053,10554
239,Transformers One,9/11/2024,13.1839,8.051,1348
240,Hidden Figures,12/10/2016,10.7542,8.052,10045
241,Transformers One,9/11/2024,13.1839,8.051,1348
242,A Special Day,8/11/1977,1.3514,8.1,710
243,The Elephant Man,10/9/1980,8.2749,8.1,3695
244,Guillermo del Toro's Pinocchio,11/9/2022,4.1695,8.049,3093
245,The Young and the Damned,12/9/1950,1.2575,8.046,506
246,Lion,11/24/2016,4.0923,8.044,6736
247,Me Against You: Mr. S's Vendetta,1/17/2020,0.7913,8.042,469
248,Ayla: The Daughter of War,10/27/2017,1.5659,8.037,376
249,The Grand Budapest Hotel,2/26/2014,9.8726,8.037,15340
250,My Name Is Khan,2/10/2010,2.866,8.032,1362
251,The Lives of Others,3/23/2006,3.5269,8,3855
252,The Second Mother,6/4/2015,1.0701,8.031,748
253,On My Skin,9/12/2018,1.3646,8,1863
254,Bo Burnham: Make Happy,6/3/2016,0.8053,8.03,403
255,The Sting,12/25/1973,3.9138,8,2738
256,Bo Burnham: Inside,7/22/2021,1.3513,8,542
257,The Wolf of Wall Street,12/25/2013,17.965,8.028,24860
258,Judgment at Nuremberg,12/18/1961,3.7707,8.027,857
259,How to Train Your Dragon,6/6/2025,379.0512,8,1556
260,How to Train Your Dragon: Homecoming,12/3/2019,9.4898,8.025,1051
261,"Veinteañera, divorciada y fantástica",2/14/2020,0.4312,8.023,389
262,Amadeus,9/19/1984,5.5619,8.023,4458
263,Flipped,8/6/2010,6.7319,8.023,3162
264,The 400 Blows,6/3/1959,3.3126,8.022,2219
265,"Toto, Peppino, and the Hussy",8/23/1956,0.88,8.021,358
266,Scooby-Doo! and Kiss: Rock and Roll Mystery,7/9/2015,1.8813,8.02,331
267,For a Few Dollars More,12/18/1965,7.4072,8.02,4192
268,"Rome, Open City",10/8/1945,1.2901,8.02,921
269,The Wages of Fear,4/22/1953,2.5376,8,1004
270,Paper Lives,3/12/2021,1.7849,8,394
271,Late Spring,9/13/1949,1.9363,8.015,441
272,Requiem for a Dream,10/6/2000,4.2423,8.015,10412
273,Dial M for Murder,5/29/1954,2.584,8.015,2709
274,Rocco and His Brothers,10/7/1960,2.1219,8,622
275,Robot Dreams,12/6/2023,3.9145,8,689
276,Hachi: A Dog's Tale,6/8/2009,6.5331,8,6878
277,Harry Potter and the Prisoner of Azkaban,5/31/2004,21.3319,8.011,22292
278,Gifted,4/7/2017,6.8,8.006,5723
279,Ford v Ferrari,11/13/2019,9.1369,8.006,8425
280,Song of the Sea,6/23/2014,2.8571,8.006,1481
281,Love Hurts,11/8/2002,1.8749,8.006,336
282,American Beauty,9/15/1999,7.6639,8.005,12497
283,Black Beauty,11/27/2020,1.311,8.004,342
284,Barry Lyndon,12/18/1975,3.9769,8.002,2971
285,Weathering with You,6/19/2019,6.2115,8.002,2446
286,Jojo Rabbit,10/18/2019,8.8917,8.002,9907
287,Room,10/16/2015,4.1021,8.001,9394
288,3 Idiots,12/23/2009,4.471,8,2517
289,Kill Bill: The Whole Bloody Affair,3/27/2006,2.6872,7.998,1066
290,Citizen Kane,4/17/1941,5.859,7.998,5726
291,Casino,11/22/1995,6.5913,7.997,6120
292,Lawrence of Arabia,12/11/1962,4.4113,7.996,3196
293,Beyond the Universe,10/27/2022,1.7017,8.002,330
294,Ugetsu,3/26/1953,1.6662,7.995,604
295,Society of the Snow,12/15/2023,5.878,7.995,3217
296,The Imitation Game,11/14/2014,11.0838,7.993,17454
297,Tae Guk Gi: The Brotherhood of War,2/5/2004,1.9272,7.993,722
298,Paperman,11/2/2012,3.8934,8,1747
299,"Love, Simon",2/16/2018,2.7939,7.991,6125
300,Loving Vincent,6/22/2017,1.7714,7.99,2518
301,The Deer Hunter,12/8/1978,4.3273,8,3993
302,To Kill a Mockingbird,12/20/1962,3.8492,8,2714
303,Bingo: The King of the Mornings,8/24/2017,0.8738,7.99,397
304,Gran Torino,12/12/2008,5.3141,7.99,11040
305,El mesero,7/15/2021,0.7265,8,354
306,1917,12/25/2019,6.6564,8,12906
307,In a Heartbeat,6/1/2017,0.5966,7.989,1003
308,Cruella,5/26/2021,9.2192,7.989,9678
309,Nights of Cabiria,10/3/1957,2.4819,7.989,804
310,Sound of Freedom,7/3/2023,6.209,8,2580
311,Like Stars on Earth,12/21/2007,4.032,7.987,1229
312,The Gold Rush,7/13/1925,3.4298,7.986,1694
